variables,chi-Square,cramers_V,p-value
international_plan,195.16474316786295,0.2550586489207681,2.371681729010462e-44
voice_mail_plan,34.38400618079837,0.1070576265083411,4.524258784618163e-09
state_freq_encoded,40.48192785671379,0.11616357411959194,0.046152938441578945
area_code_area_code_510,1.9452058852417917,0.025463738173081812,0.16310440031528703
area_code_area_code_408,0.8855515875059801,0.017180915647950587,0.34668563923346496
area_code_area_code_415,0.12109250554478349,0.006353280138237872,0.7278525866835479
